,Code,Framework density,Topological density,Channel dimensionality,Max inclusion diameter,Max diffusion diameter a,Max diffusion diameter b,Max diffusion diameter c,Accessible volume (%)
45,CHA,15.1,677.0,3.0,7.37,3.72,3.72,3.72,17.27
46,CHI,19.9,913.0,1.0,3.93,3.63,1.25,1.51,2.39
47,CLO,11.1,456.0,3.0,15.72,6.31,6.31,6.31,33.76
48,CON,15.7,784.0,3.0,7.45,4.89,4.89,5.6,19.18
49,CSV,16.2,757.0,2.0,7.56,1.72,3.28,5.31,18.01
50,CZP,20.6,885.0,1.0,4.26,1.25,1.25,3.68,3.97
51,DAC,17.5,977.0,2.0,5.28,1.57,4.19,3.66,9.5
52,DDR,17.9,968.0,2.0,7.66,3.65,3.65,2.63,9.21
53,DFO,14.9,664.0,3.0,11.29,5.08,5.08,7.19,22.01
54,DFT,17.7,840.0,3.0,5.1,3.07,3.07,3.65,6.58
55,DOH,17.0,1002.0,0.0,7.85,2.55,2.55,2.62,0.0
56,DON,17.1,851.0,1.0,8.79,2.19,1.79,8.07,15.59
57,EAB,16.0,735.0,2.0,7.14,3.54,3.54,2.5,14.32
58,EDI,16.3,786.0,3.0,5.72,3.2,3.2,3.44,9.52
59,EEI,17.9,1009.0,1.0,6.96,3.11,2.15,2.23,9.36
60,EMT,13.3,584.0,3.0,11.55,6.54,6.54,7.37,27.39
61,EON,16.8,873.0,2.0,7.83,6.79,3.24,1.9,12.48
62,EPI,17.7,979.0,2.0,5.47,3.62,1.25,3.48,9.04
63,ERI,16.1,738.0,3.0,7.04,3.42,3.42,3.42,15.1
64,ESV,17.7,875.0,1.0,6.22,1.78,3.66,1.78,8.36
65,ETL,18.0,1006.0,2.0,6.37,3.19,1.63,3.42,7.27
66,ETR,15.4,675.0,3.0,10.05,2.85,2.85,9.33,18.97
67,EUO,17.1,965.0,1.0,7.0,4.99,1.98,2.5,12.24
68,EWS,17.3,930.0,2.0,6.12,1.94,3.99,3.99,12.64
69,EZT,17.2,754.0,1.0,6.57,6.13,2.12,2.12,13.14
70,FAR,17.1,806.0,0.0,6.36,2.47,2.47,2.26,0.0
71,FAU,13.3,579.0,3.0,11.24,7.35,7.35,7.35,27.42
72,FER,17.6,1021.0,2.0,6.31,1.56,3.4,4.69,10.01
73,FRA,17.1,802.0,0.0,6.67,2.7,2.7,2.66,0.0
74,GIS,16.4,726.0,3.0,4.97,3.32,3.32,3.32,9.38
75,GIU,17.1,811.0,0.0,6.32,2.59,2.59,2.32,0.0
76,GME,15.1,694.0,3.0,7.76,3.41,3.41,7.11,17.29
77,GON,17.7,926.0,1.0,6.32,1.68,1.68,5.45,8.12
78,GOO,19.0,840.0,3.0,4.51,3.22,3.22,2.84,4.83
79,HEU,17.5,909.0,2.0,5.97,3.05,1.34,3.67,9.42
80,IFO,17.3,766.0,1.0,7.76,7.22,1.97,1.09,16.89
81,IFR,17.2,798.0,1.0,7.24,1.64,1.3,6.38,15.54
82,IFT,12.1,587.0,3.0,10.44,6.71,6.71,7.78,33.37
83,IFU,12.1,561.0,3.0,10.99,6.84,6.11,6.11,33.08
84,IFW,15.8,827.0,3.0,7.7,3.28,3.28,5.63,17.99
85,IFY,17.6,760.0,3.0,6.94,3.83,3.83,2.22,10.62
86,IHW,18.5,1013.0,2.0,6.67,3.67,1.58,3.67,9.7
87,IMF,17.5,964.0,3.0,7.34,5.44,1.84,5.2,12.12
88,IRN,15.3,754.0,1.0,9.17,2.05,3.64,2.81,17.71
89,IRR,11.8,552.0,3.0,14.46,6.0,6.0,12.12,37.79
90,IRY,11.1,522.0,3.0,11.33,9.35,9.35,8.67,40.9
91,ISV,15.0,772.0,3.0,7.01,6.32,6.32,6.28,21.34
92,ITE,15.7,824.0,2.0,8.3,2.07,4.21,2.8,16.45
93,ITG,16.6,832.0,3.0,7.0,5.0,6.3,5.21,15.72
94,ITH,17.4,910.0,3.0,6.72,3.53,5.13,4.99,11.59
95,ITR,17.4,907.0,3.0,6.36,5.12,5.12,3.58,11.79
96,ITT,12.8,625.0,3.0,11.74,2.29,2.29,11.2,25.1
97,ITV,10.5,328.0,3.0,9.32,6.98,6.98,6.98,37.82
98,ITW,17.7,901.0,2.0,4.73,2.78,1.54,3.95,7.83
99,IWR,15.6,759.0,3.0,7.48,4.86,4.86,5.91,19.35
100,IWS,14.8,738.0,3.0,8.25,6.38,6.38,6.66,23.19
101,IWV,15.0,802.0,2.0,8.54,2.06,7.03,7.03,22.28
102,IWW,16.6,849.0,3.0,7.07,4.91,4.91,6.25,15.3
103,JBW,18.8,890.0,1.0,4.29,3.72,2.53,1.46,4.18
104,JNT,20.5,893.0,2.0,4.72,1.75,1.71,1.75,0.0
105,JOZ,16.4,866.0,3.0,4.92,3.09,3.5,3.09,7.5
106,JRY,18.5,902.0,1.0,4.59,2.05,4.4,1.75,6.76
107,JSN,17.9,785.0,2.0,5.12,1.59,2.75,3.46,8.04
108,JSR,12.3,661.0,3.0,7.83,5.05,5.05,5.05,28.09
109,JST,14.3,747.0,3.0,5.35,3.74,3.74,3.74,14.39
110,JSW,18.4,852.0,1.0,5.38,1.92,2.6,1.65,0.0
111,KFI,15.0,681.0,3.0,10.67,4.04,4.04,4.04,17.91
112,LAU,18.0,782.0,1.0,6.04,2.09,2.09,4.07,9.57
113,LEV,15.9,719.0,2.0,7.1,3.53,3.53,2.5,14.32
114,LIO,17.6,816.0,0.0,6.05,2.37,2.37,2.29,0.0
115,LIT,19.2,768.0,3.0,3.24,1.51,1.81,1.53,0.0
116,LOS,16.9,816.0,0.0,6.36,2.56,2.56,2.56,0.0
117,LOV,16.8,879.0,3.0,5.15,3.78,3.78,3.77,7.57
118,LTA,14.2,641.0,3.0,11.05,4.21,4.21,4.21,21.43
119,LTF,16.9,825.0,3.0,8.16,3.25,3.25,7.5,11.21
