,material,pressure,temperature,delta_e,delta_e_err,delta_h,delta_h_err,delta_pv,delta_pv_err,delta_gt,delta_gt_err,q_st,q_st_err
67,FAR-0,1.0,77.0,-5.989884084480279,0.02660549999887918,-6.63083885218872,0.026511167423260318,-0.6409547677084414,9.433257561874964e-05,-2.2194865793884047,0.01828138189938966,-6.418387757076614,0.27866907802792884
68,FAU-0,1.0,77.0,-3.3414677778145174,0.02911090351561829,-3.981684467770543,0.029651481443463634,-0.6402166899560258,0.0005405779278454537,-1.6945446794348733,0.02824560655749031,-4.035197327918265,0.1277106666841552
69,FER-0,1.0,77.0,-5.606580706402621,0.0015874035228615746,-6.247257728952849,0.001902650048074328,-0.6406770225502272,0.00031524652521236485,-2.2114805001716293,0.0012740354703966172,-6.281624352076252,0.03713012555452844
70,FRA-0,1.0,77.0,-5.700014365342178,0.001145472607118947,-6.340577503649294,0.0011709199916820623,-0.6405631383071162,2.5447384562893305e-05,-2.263785963303198,0.004391439671621367,-5.953810844606561,0.10855406231031361
71,GIS-0,1.0,77.0,-5.987080324041925,0.006491284262026831,-6.627464916072093,0.005797765242680608,-0.6403845920301676,0.0006935190193459451,-2.3674611917820974,0.001075769979538732,-6.716546271994353,0.053765182575049586
72,GIU-0,1.0,77.0,-6.078178394841,0.01357699716861216,-6.7186104760755265,0.013827190128056444,-0.6404320812345261,0.0002501929594443397,-2.2424479554951517,0.012093018796418109,-6.351209727213785,0.1947151792095334
73,GME-0,1.0,77.0,-4.933291829917041,0.02866946401707704,-5.574070536696119,0.028543054193844064,-0.6407787067790781,0.00012640982323286476,-2.183775367337656,0.012770759976999724,-5.035243922604831,0.18357719481243961
74,GON-0,1.0,77.0,-5.007766353118141,0.0030022523820782965,-5.651188914202816,0.0038425964713137972,-0.6434225610846749,0.0008403440892352232,-1.9906378101092148,0.001687183229450273,-5.892729862515622,0.053934339709261536
75,GOO-0,1.0,77.0,-6.265480166406257,0.0015080012373784868,-6.906146522822402,0.001449014721710995,-0.6406663564161451,5.89865156674918e-05,-2.0069100536205395,0.0009794943951348944,-6.845201912894557,0.1794415841926389
76,HEU-0,1.0,77.0,-5.956461621081167,0.00263701324816612,-6.597476452284786,0.0024471154000118567,-0.6410148312036186,0.00018989784815415245,-2.230996348724097,0.00046897909251097936,-6.376045862409114,0.07254188964424779
77,IFO-0,1.0,77.0,-3.737166360410422,0.00659858708391825,-4.377582795225802,0.006697630153135403,-0.64041643481538,9.90430692172084e-05,-1.9115812494717668,0.007671280065619679,-4.574603010617764,0.09805398069603877
78,IFR-0,1.0,77.0,-4.703591304739589,0.002061328398860862,-5.343718288191335,0.00204073525052495,-0.6401269834517446,2.0593148335912304e-05,-2.1767949110323137,0.0013865843356422047,-5.494890305253573,0.061467743165455335
79,IFW-0,1.0,77.0,-4.479570873949978,0.010532339915207523,-5.119675963267475,0.010191368352590047,-0.6401050893174967,0.0003409715626176424,-2.081094587508458,0.0069738593229684565,-5.129865459309817,0.2102517380517166
80,IFY-0,1.0,77.0,-6.0550703197099915,0.004952797098815687,-6.69515164074126,0.00511300791856506,-0.6400813210312689,0.00016021081974948448,-2.4115217854610944,0.0017811557002387346,-6.6515288687096135,0.08342442545077544
